dataset,w,a,sb,tb,si,ka
t401,5,7,40,10,2,1
t401,7,7,40,10,2,1
t401,7,7,40,10,3,1
t401,7,7,40,10,2,2
t401,5,7,40,10,2,2
t401,7,7,40,10,3,2
t401,7,7,40,10,3,3
t401,7,7,40,10,4,1
t401,7,7,40,10,5,1
t401,7,7,40,10,4,3
t401,7,7,40,10,4,2
t401,7,7,40,10,4,4
t401,7,7,40,10,5,3
t401,7,7,40,10,5,2
t401,7,7,40,10,5,4
t401,7,7,40,10,5,5
t401,7,7,40,10,6,1
t401,7,7,40,10,6,2
t401,7,7,40,10,6,3
t401,7,7,40,10,6,4
t401,7,7,40,10,7,1
t401,7,7,40,10,6,5
t401,7,7,40,10,7,2
t401,7,7,40,10,7,3
t401,4,7,40,10,2,2
t401,7,7,40,10,7,4
t401,7,7,40,10,7,5
t401,4,7,40,10,2,1
t401,3,7,10,40,5,5
t401,3,7,10,40,6,2
t401,3,7,10,40,6,1
t401,3,7,10,40,6,3
t401,3,7,10,40,6,4
t401,3,7,10,40,5,4
t401,3,7,10,40,5,2
t401,3,7,10,40,5,1
t401,3,7,10,40,5,3
t401,3,7,10,40,4,4
t401,3,7,10,40,4,1
t401,3,7,10,40,4,2
t401,3,7,10,40,4,3
t401,3,7,10,40,3,1
t401,3,7,10,40,3,2
t401,3,7,10,40,3,3
t401,3,7,10,40,2,1
t401,3,7,10,40,2,2
t401,3,7,10,40,7,1
t401,4,7,10,40,4,1
t401,3,7,10,40,7,2
t401,4,7,10,40,4,2
t401,3,7,10,40,7,3
t401,3,7,10,40,7,4
t401,3,7,10,40,7,5
t401,4,7,10,40,5,1
t401,3,7,10,40,6,5
t401,4,7,10,40,4,4
t401,4,7,10,40,3,3
t401,4,7,10,40,4,3
t401,4,7,10,40,5,2
t401,4,7,10,40,3,1
t401,4,7,10,40,3,2
t401,4,7,10,40,5,3
t401,4,7,10,40,5,4
t401,4,7,10,40,5,5
t401,4,7,10,40,6,1
t401,4,7,10,40,6,2
t401,4,7,10,40,6,3
t401,4,7,10,40,6,4
t401,4,7,10,40,7,1
t401,4,7,10,40,7,2
t401,4,7,10,40,6,5
t401,4,7,10,40,7,3
t401,4,7,10,40,7,4
t401,4,7,10,40,7,5
t401,5,7,10,40,3,1
t401,5,7,10,40,3,2
t401,5,7,10,40,3,3
t401,5,7,10,40,4,1
t401,5,7,10,40,4,2
t401,5,7,10,40,4,3
t401,5,7,10,40,4,4
t401,5,7,10,40,5,1
t401,5,7,10,40,5,2
t401,5,7,10,40,5,3
t401,5,7,10,40,5,5
t401,5,7,10,40,5,4
t401,5,7,10,40,6,1
t401,5,7,10,40,6,2
t401,5,7,10,40,6,3
t401,5,7,10,40,6,4
t401,5,7,10,40,7,1
t401,5,7,10,40,6,5
t401,5,7,10,40,7,2
t401,5,7,10,40,7,3
t401,5,7,10,40,7,4
t401,5,7,10,40,7,5
t401,6,7,10,40,4,1
t401,6,7,10,40,3,1
t401,6,7,10,40,3,3
t401,6,7,10,40,3,2
t401,6,7,10,40,4,3
t401,6,7,10,40,4,2
t401,6,7,10,40,4,4
t401,6,7,10,40,5,1
t401,6,7,10,40,5,2
t401,6,7,10,40,5,3
t401,6,7,10,40,5,4
t401,6,7,10,40,5,5
t401,6,7,10,40,6,1
t401,6,7,10,40,6,2
t401,6,7,10,40,6,3
t401,6,7,10,40,2,1
t401,6,7,10,40,6,4
t401,6,7,10,40,7,1
t401,6,7,10,40,2,2
t401,6,7,10,40,6,5
t401,6,7,10,40,7,2
t401,6,7,10,40,7,3
t401,6,7,10,40,7,4
t401,6,7,10,40,7,5
t401,7,7,10,40,3,2
t401,7,7,10,40,3,1
t401,7,7,10,40,3,3
t401,5,7,10,40,2,1
t401,7,7,10,40,2,2
t401,7,7,10,40,2,1
t401,5,7,10,40,2,2
t401,7,7,10,40,4,1
t401,7,7,10,40,4,2
t401,7,7,10,40,4,3
t401,7,7,10,40,4,4
t401,7,7,10,40,5,2
t401,7,7,10,40,5,3
t401,7,7,10,40,5,1
t401,7,7,10,40,5,4
t401,7,7,10,40,5,5
t401,4,7,10,40,2,2
t401,7,7,10,40,6,1
t401,7,7,10,40,6,3
t401,7,7,10,40,6,2
t401,4,7,10,40,2,1
t401,7,7,10,40,6,4
t401,7,7,10,40,7,1
t401,7,7,10,40,6,5
t401,7,7,10,40,7,2
t401,7,7,10,40,7,3
t401,7,7,10,40,7,4
t401,7,7,10,40,7,5
t401,4,7,1,440,6,1
t401,4,7,1,440,7,1
t401,4,7,1,440,5,1
t401,4,7,1,440,4,1
t401,3,7,1,440,7,1
t401,5,7,1,440,4,1
t401,5,7,1,440,5,1
t401,5,7,1,440,3,1
t401,5,7,1,440,6,1
t401,5,7,1,440,7,1
t401,6,7,1,440,3,1
t401,3,7,1,440,6,1
t401,6,7,1,440,6,1
t401,6,7,1,440,4,1
t401,6,7,1,440,5,1
t401,6,7,1,440,7,1
t401,6,7,1,440,2,1
t401,4,7,1,440,3,1
t401,7,7,1,440,4,1
t401,7,7,1,440,5,1
t401,7,7,1,440,2,1
t401,7,7,1,440,3,1
t401,3,7,1,440,5,1
t401,7,7,1,440,6,1
t401,7,7,1,440,7,1
t401,5,7,1,440,2,1
t401,3,7,1,440,4,1
t401,3,7,1,440,3,1
t401,4,7,1,440,2,1
t401,3,7,1,440,2,1
